Temperature: 26.87°C  |  Temperature: 300.02°K  |  80.37°F
Temperature: 27.00°C  |  Temperature: 300.15°K  |  80.60°F
Temperature: 27.00°C  |  Temperature: 300.15°K  |  80.60°F
Temperature: 27.06°C  |  Temperature: 300.21°K  |  80.71°F
Temperature: 27.06°C  |  Temperature: 300.21°K  |  80.71°F
Temperature: 27.00°C  |  Temperature: 300.15°K  |  80.60°F
Temperature: 27.00°C  |  Temperature: 300.15°K  |  80.60°F
Temperature: 27.06°C  |  Temperature: 300.21°K  |  80.71°F
Temperature: 27.06°C  |  Temperature: 300.21°K  |  80.71°F
Temperature: 27.12°C  |  Temperature: 300.27°K  |  80.82°F
Temperature: 27.12°C  |  Temperature: 300.27°K  |  80.82°F
Temperature: 27.25°C  |  Temperature: 300.40°K  |  81.05°F
Temperature: 27.25°C  |  Temperature: 300.40°K  |  81.05°F
Temperature: 27.50°C  |  Temperature: 300.65°K  |  81.50°F
Temperature: 27.50°C  |  Temperature: 300.65°K  |  81.50°F
Temperature: 27.81°C  |  Temperature: 300.96°K  |  82.06°F
Temperature: 27.81°C  |  Temperature: 300.96°K  |  82.06°F
Temperature: 28.12°C  |  Temperature: 301.27°K  |  82.62°F
Temperature: 28.12°C  |  Temperature: 301.27°K  |  82.62°F
Temperature: 28.56°C  |  Temperature: 301.71°K  |  83.41°F
Temperature: 28.56°C  |  Temperature: 301.71°K  |  83.41°F
Temperature: 28.94°C  |  Temperature: 302.09°K  |  84.09°F
Temperature: 28.94°C  |  Temperature: 302.09°K  |  84.09°F
Temperature: 29.37°C  |  Temperature: 302.52°K  |  84.87°F
Temperature: 29.37°C  |  Temperature: 302.52°K  |  84.87°F
Temperature: 29.75°C  |  Temperature: 302.90°K  |  85.55°F
Temperature: 29.75°C  |  Temperature: 302.90°K  |  85.55°F
Temperature: 30.12°C  |  Temperature: 303.27°K  |  86.22°F
Temperature: 30.12°C  |  Temperature: 303.27°K  |  86.22°F
Temperature: 30.56°C  |  Temperature: 303.71°K  |  87.01°F
Temperature: 30.56°C  |  Temperature: 303.71°K  |  87.01°F
Temperature: 30.87°C  |  Temperature: 304.02°K  |  87.57°F
Temperature: 30.87°C  |  Temperature: 304.02°K  |  87.57°F
Temperature: 31.31°C  |  Temperature: 304.46°K  |  88.36°F
Temperature: 31.31°C  |  Temperature: 304.46°K  |  88.36°F
Temperature: 31.62°C  |  Temperature: 304.77°K  |  88.93°F
Temperature: 31.62°C  |  Temperature: 304.77°K  |  88.93°F
Temperature: 32.00°C  |  Temperature: 305.15°K  |  89.60°F
Temperature: 32.00°C  |  Temperature: 305.15°K  |  89.60°F
Temperature: 32.31°C  |  Temperature: 305.46°K  |  90.16°F
Temperature: 32.31°C  |  Temperature: 305.46°K  |  90.16°F
Temperature: 32.69°C  |  Temperature: 305.84°K  |  90.84°F
Temperature: 32.69°C  |  Temperature: 305.84°K  |  90.84°F
Temperature: 33.00°C  |  Temperature: 306.15°K  |  91.40°F
Temperature: 33.00°C  |  Temperature: 306.15°K  |  91.40°F
Temperature: 33.31°C  |  Temperature: 306.46°K  |  91.96°F
Temperature: 33.31°C  |  Temperature: 306.46°K  |  91.96°F
Temperature: 33.63°C  |  Temperature: 306.77°K  |  92.52°F
Temperature: 33.63°C  |  Temperature: 306.77°K  |  92.52°F
Temperature: 33.94°C  |  Temperature: 307.09°K  |  93.09°F
Temperature: 33.94°C  |  Temperature: 307.09°K  |  93.09°F
Temperature: 34.19°C  |  Temperature: 307.34°K  |  93.54°F
Temperature: 34.19°C  |  Temperature: 307.34°K  |  93.54°F
Temperature: 34.50°C  |  Temperature: 307.65°K  |  94.10°F
Temperature: 34.50°C  |  Temperature: 307.65°K  |  94.10°F
Temperature: 34.75°C  |  Temperature: 307.90°K  |  94.55°F
Temperature: 34.75°C  |  Temperature: 307.90°K  |  94.55°F
Temperature: 35.06°C  |  Temperature: 308.21°K  |  95.11°F
Temperature: 35.06°C  |  Temperature: 308.21°K  |  95.11°F
Temperature: 35.31°C  |  Temperature: 308.46°K  |  95.56°F
Temperature: 35.31°C  |  Temperature: 308.46°K  |  95.56°F
Temperature: 35.56°C  |  Temperature: 308.71°K  |  96.01°F
Temperature: 35.56°C  |  Temperature: 308.71°K  |  96.01°F
Temperature: 35.81°C  |  Temperature: 308.96°K  |  96.46°F
Temperature: 35.81°C  |  Temperature: 308.96°K  |  96.46°F
Temperature: 36.13°C  |  Temperature: 309.27°K  |  97.02°F
Temperature: 36.13°C  |  Temperature: 309.27°K  |  97.02°F
Temperature: 36.38°C  |  Temperature: 309.52°K  |  97.47°F
Temperature: 36.38°C  |  Temperature: 309.52°K  |  97.47°F
Temperature: 36.63°C  |  Temperature: 309.77°K  |  97.93°F
Temperature: 36.63°C  |  Temperature: 309.77°K  |  97.93°F
Temperature: 36.81°C  |  Temperature: 309.96°K  |  98.26°F
Temperature: 36.81°C  |  Temperature: 309.96°K  |  98.26°F
Temperature: 37.06°C  |  Temperature: 310.21°K  |  98.71°F
Temperature: 37.06°C  |  Temperature: 310.21°K  |  98.71°F
Temperature: 37.31°C  |  Temperature: 310.46°K  |  99.16°F
Temperature: 37.31°C  |  Temperature: 310.46°K  |  99.16°F
Temperature: 37.56°C  |  Temperature: 310.71°K  |  99.61°F
